Time,Avg. test 2_205C,Err. test 2_205C,Avg. test 6_165C,Err. test 6_165C,Avg. test 7_205C,Err. test 7_205C,Avg. test 8_165C,Err. test 8_165C,Avg. test 9.1&2_205C,Err. test 9.1&2_205C,Avg. test 9.3&4_165C,Err. test 9.3&4_165C
t<5,29.95833333,0.891055883,48,0.717324574,,,,,,,,
20,37.58333333,0.833558114,48.55555556,0.680926141,,,,,,,,
40,41.70833333,0.909356187,51.47222222,0.689901187,,,,,,,,
60,39.16666667,1.055759001,52.69444444,0.737035186,37.21666667,0.823237317,36.83333333,0.780721741,55.5,0.812995039,51.3,0.948615719
20,47.5,2.653613888,55.33333333,1.394433378,,,,,,,,
40,51.5,2.309401077,65.75,1.860779407,,,,,,,,
60,60.125,3.293775696,66.83333333,2.204792759,87.16666667,0.90029795,73.58333333,1.3429431,92.85,0.644722222,88.8,1.34
80,70.125,0.850857411,69,1.643167673,,,,,,,,
100,56.25,3.821539829,73.16666667,3.69834798,,,,,,,,
120,55.75,4.634562187,73.25,1.86525244,89.3,0.970720789,82.2,1.171217614,93.65,0.394722222,93.35,0.483611111
140,53,7.613037064,73.58333333,2.138600269,,,,,,,,
160,52.875,6.765029564,71.25,1.696810734,,,,,,,,
180,68,5.127540021,72.75,2.792101956,89,0.785647109,82.58333333,1.262428633,93.9,0.454444444,92.4,0.704444444
200,66.5,5.271780218,72.16666667,2.279132389,,,,,,,,
220,57.375,6.011707328,69.5,1.543804824,,,,,,,,
240,67,4.365039682,79,2.149700472,89.1,0.940591646,82.45,1.269978278,92.45,1.391388889,90.4,1.765555556
24 hrs,,,86.22222222,1.287332845,90.08333333,0.969679214,88.18333333,0.709331616,,,,
72 hrs,80.58333333,2.598683622,,,,,,,,,,
